software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date,deprecated_at,deprecated_reason,product_id,purl_coverage_flag,data_quality_notes
Enquantum PQC Accelerator,,,,,,not_found,,2026-05-10,,,enquantum-pqc-accelerator,,
Entrust Cryptographic Platform,,,,,,not_found,,2026-05-10,,,entrust-cryptographic-platform,,
Entrust Cryptographic Security Platform,,,,,,not_found,,2026-05-10,,,entrust-cryptographic-security-platform,,
Entrust Identity as a Service (IDaaS),,,,,,not_found,,2026-05-10,,,entrust-identity-as-a-service-idaas,,
Entrust KeyControl,,,,,,not_found,,2026-05-10,,,entrust-keycontrol,,
Entrust nShield,,,,,,not_found,,2026-05-10,,,entrust-nshield,,
Entrust PKI,,,,,,not_found,,2026-05-10,,,entrust-pki,,
Entrust Signing Automation,,,,,,not_found,,2026-05-10,,,,,
Envoy Proxy,pkg:github/envoyproxy/envoy,github,envoyproxy,envoy,exact,matched,https://github.com/envoyproxy/envoy,2026-05-10,,,envoy-proxy,,
Ericsson Quantum-Safe 5G,,,,,,not_found,,2026-05-10,,,ericsson-quantum-safe-5g,,
